LoanId,Amount,Grade,Grade_Score,Home,Income,Income_Bracket,Status,Default_Flag,Reason,DebtIncRat,DTI_Risk_Category,Loan_Size_Category,Income_to_Loan_Ratio,Risk_Score,Overall_Risk_Category
188861,"8,000",C,3,RENT,"49,966",Medium,Charged Off,1,credit_card,30.05,Medium Risk,Medium,16.01,13.82,MEDIUM RISK
517703,"11,000",B,2,MORTGAGE,"50,000",Medium,Fully Paid,0,debt_consolidation,8.74,Low Risk,Medium,22,4.7,LOW RISK
268587,"35,000",D,4,RENT,"360,000",High,Current,0,debt_consolidation,14.5,Low Risk,Large,9.72,8,LOW RISK
579902,"20,000",C,3,MORTGAGE,"60,000",Medium,Fully Paid,0,debt_consolidation,14.14,Low Risk,Large,33.33,7.26,LOW RISK
617630,"12,000",B,2,MORTGAGE,"64,000",Medium,Current,0,debt_consolidation,5.14,Low Risk,Medium,18.75,3.26,LOW RISK
29919,"10,000",C,3,RENT,"108,000",High,Charged Off,1,credit_card,11.7,Low Risk,Medium,9.26,6.48,LOW RISK
346820,"20,000",C,3,RENT,"40,000",Medium,Fully Paid,0,credit_card,23.1,Medium Risk,Large,50,11.04,MEDIUM RISK
586073,"15,250",C,3,MORTGAGE,"42,726",Medium,Fully Paid,0,debt_consolidation,29.67,Medium Risk,Large,35.69,13.47,MEDIUM RISK
362140,"7,800",D,4,RENT,"26,000",Low,Fully Paid,0,debt_consolidation,12.14,Low Risk,Medium,30,7.06,LOW RISK
299869,"18,000",B,2,MORTGAGE,"70,000",Medium,Fully Paid,0,debt_consolidation,19.72,Low Risk,Large,25.71,9.09,LOW RISK
628372,"5,600",C,3,MORTGAGE,"44,000",Medium,Fully Paid,0,other,12.74,Low Risk,Medium,12.73,6.7,LOW RISK
444973,"15,600",B,2,MORTGAGE,"45,500",Medium,Current,0,credit_card,17.59,Low Risk,Large,34.29,8.24,LOW RISK
376059,"24,000",B,2,MORTGAGE,"90,000",High,Charged Off,1,debt_consolidation,24.72,Medium Risk,Large,26.67,11.09,MEDIUM RISK
67593,"3,600",C,3,RENT,"44,000",Medium,Charged Off,1,car,11.97,Low Risk,Small,8.18,6.59,LOW RISK
590929,"10,000",B,2,RENT,"83,000",High,Fully Paid,0,debt_consolidation,11.54,Low Risk,Medium,12.05,6.02,LOW RISK
161610,"16,000",A,1,MORTGAGE,"128,000",High,Fully Paid,0,debt_consolidation,17.06,Low Risk,Large,12.5,7.62,LOW RISK
27622,"35,000",D,4,RENT,"140,000",High,Fully Paid,0,home_improvement,15.95,Low Risk,Large,25,8.58,LOW RISK
215350,"20,000",C,3,MORTGAGE,"86,000",High,Current,0,debt_consolidation,13.13,Low Risk,Large,23.26,6.85,LOW RISK
626834,"17,225",E,5,MORTGAGE,"65,000",Medium,Fully Paid,0,debt_consolidation,31.15,Medium Risk,Large,26.5,14.86,MEDIUM RISK
584170,"12,000",D,4,RENT,"32,000",Low,Current,0,debt_consolidation,24.91,Medium Risk,Medium,37.5,12.16,MEDIUM RISK
454971,"10,000",E,5,MORTGAGE,"92,400",High,Current,0,debt_consolidation,16.29,Low Risk,Medium,10.82,8.92,LOW RISK
420626,"7,100",A,1,RENT,"29,000",Low,Current,0,debt_consolidation,29.76,Medium Risk,Medium,24.48,12.9,MEDIUM RISK
430606,"5,600",B,2,MORTGAGE,"90,000",High,Current,0,debt_consolidation,9.13,Low Risk,Medium,6.22,4.85,LOW RISK
465296,"11,000",E,5,RENT,"56,000",Medium,Current,0,debt_consolidation,19.01,Low Risk,Medium,19.64,10.2,MEDIUM RISK
357291,"6,400",B,2,RENT,"35,000",Low,Current,0,debt_consolidation,11.56,Low Risk,Medium,18.29,6.02,LOW RISK
390175,"4,000",C,3,MORTGAGE,"58,000",Medium,Fully Paid,0,vacation,20.01,Medium Risk,Small,6.9,9.6,LOW RISK
189892,"9,475",D,4,RENT,"25,000",Low,Fully Paid,0,credit_card,26.6,Medium Risk,Medium,37.9,12.84,MEDIUM RISK
96610,"24,000",D,4,RENT,"102,000",High,Fully Paid,0,debt_consolidation,21.2,Medium Risk,Large,23.53,10.68,MEDIUM RISK
632419,"6,000",A,1,RENT,"49,000",Medium,Charged Off,1,credit_card,28.61,Medium Risk,Medium,12.24,12.44,MEDIUM RISK
592539,"8,000",C,3,RENT,"30,000",Low,Fully Paid,0,credit_card,26.49,Medium Risk,Medium,26.67,12.4,MEDIUM RISK
453585,"15,000",B,2,MORTGAGE,"63,000",Medium,In Grace Period,0,home_improvement,13.26,Low Risk,Large,23.81,6.5,LOW RISK
522382,"13,100",C,3,OWN,"33,000",Low,Fully Paid,0,home_improvement,13.67,Low Risk,Medium,39.7,6.87,LOW RISK
16164,"4,700",D,4,RENT,"50,000",Medium,Charged Off,1,debt_consolidation,7.51,Low Risk,Small,9.4,5.2,LOW RISK
313767,"4,000",B,2,MORTGAGE,"66,000",Medium,Current,0,debt_consolidation,26.89,Medium Risk,Small,6.06,11.96,MEDIUM RISK
498076,"10,000",C,3,RENT,"50,000",Medium,Charged Off,1,debt_consolidation,37.9,High Risk,Medium,20,16.96,MEDIUM RISK
142114,"13,300",C,3,MORTGAGE,"220,000",High,Current,0,medical,19.09,Low Risk,Medium,6.05,9.24,LOW RISK
208947,"35,000",D,4,MORTGAGE,"155,000",High,Current,0,credit_card,25.61,Medium Risk,Large,22.58,12.24,MEDIUM RISK
152107,"16,400",D,4,MORTGAGE,"49,000",Medium,Current,0,debt_consolidation,23.61,Medium Risk,Large,33.47,11.44,MEDIUM RISK
93776,"18,500",D,4,MORTGAGE,"82,000",High,Charged Off,1,debt_consolidation,12.98,Low Risk,Large,22.56,7.19,LOW RISK
272229,"20,800",D,4,MORTGAGE,"75,000",Medium,Fully Paid,0,home_improvement,20.82,Medium Risk,Large,27.73,10.33,MEDIUM RISK
271688,"24,000",C,3,MORTGAGE,"73,000",Medium,Current,0,credit_card,39.42,High Risk,Large,32.88,17.37,MEDIUM RISK
242217,"20,000",C,3,RENT,"65,000",Medium,Current,0,debt_consolidation,21.14,Medium Risk,Large,30.77,10.26,MEDIUM RISK
100109,"20,000",E,5,RENT,"69,000",Medium,Current,0,debt_consolidation,20.87,Medium Risk,Large,28.99,10.95,MEDIUM RISK
91152,"9,000",B,2,MORTGAGE,"81,000",High,Fully Paid,0,debt_consolidation,23.38,Medium Risk,Medium,11.11,10.55,MEDIUM RISK
153030,"17,500",C,3,RENT,"40,000",Medium,Charged Off,1,credit_card,23.13,Medium Risk,Large,43.75,11.05,MEDIUM RISK
174660,"23,550",E,5,MORTGAGE,"65,582",Medium,Charged Off,1,credit_card,16.58,Low Risk,Large,35.91,9.03,LOW RISK
563320,"21,000",A,1,RENT,"88,252",High,Fully Paid,0,credit_card,13.26,Low Risk,Large,23.8,6.3,LOW RISK
30097,"20,950",D,4,RENT,"50,000",Medium,Charged Off,1,debt_consolidation,19.88,Low Risk,Large,41.9,10.15,MEDIUM RISK
290384,"15,625",C,3,MORTGAGE,"34,000",Low,In Grace Period,0,debt_consolidation,32.69,Medium Risk,Large,45.96,14.68,MEDIUM RISK
524637,"16,975",E,5,MORTGAGE,"35,000",Low,Charged Off,1,debt_consolidation,16.02,Low Risk,Large,48.5,8.81,LOW RISK
80049,"12,000",B,2,MORTGAGE,"42,000",Medium,Fully Paid,0,debt_consolidation,15.77,Low Risk,Medium,28.57,7.51,LOW RISK
368362,"15,000",A,1,MORTGAGE,"76,400",Medium,Current,0,debt_consolidation,15.65,Low Risk,Large,19.63,7.06,LOW RISK
135625,"9,000",B,2,RENT,"49,000",Medium,Fully Paid,0,credit_card,13.1,Low Risk,Medium,18.37,6.64,LOW RISK
83747,"12,000",D,4,MORTGAGE,"67,650",Medium,Fully Paid,0,debt_consolidation,11.09,Low Risk,Medium,17.74,6.44,LOW RISK
494677,"3,850",C,3,MORTGAGE,"53,000",Medium,Fully Paid,0,home_improvement,32.08,Medium Risk,Small,7.26,14.43,MEDIUM RISK
587752,"24,175",D,4,MORTGAGE,"55,000",Medium,Charged Off,1,debt_consolidation,20.23,Medium Risk,Large,43.95,10.09,MEDIUM RISK
245899,"2,250",D,4,RENT,"50,000",Medium,Fully Paid,0,debt_consolidation,35.07,High Risk,Small,4.5,16.23,MEDIUM RISK
436762,"14,425",E,5,OWN,"38,000",Low,Charged Off,1,credit_card,26.28,Medium Risk,Medium,37.96,12.71,MEDIUM RISK
62279,"7,200",B,2,MORTGAGE,"50,000",Medium,Fully Paid,0,debt_consolidation,26.52,Medium Risk,Medium,14.4,11.81,MEDIUM RISK
252141,"9,000",B,2,RENT,"70,000",Medium,Current,0,car,7.03,Low Risk,Medium,12.86,4.21,LOW RISK
180179,"6,150",C,3,OWN,"35,000",Low,Fully Paid,0,debt_consolidation,6.65,Low Risk,Medium,17.57,4.06,LOW RISK
534947,"35,000",C,3,MORTGAGE,"119,000",High,Current,0,credit_card,25.28,Medium Risk,Large,29.41,11.71,MEDIUM RISK
294525,"18,000",B,2,MORTGAGE,"117,000",High,Current,0,debt_consolidation,15.97,Low Risk,Large,15.38,7.59,LOW RISK
531941,"30,000",C,3,RENT,"135,000",High,Charged Off,1,debt_consolidation,8.24,Low Risk,Large,22.22,5.1,LOW RISK
533467,"12,000",A,1,MORTGAGE,"103,000",High,Fully Paid,0,debt_consolidation,13.17,Low Risk,Medium,11.65,6.07,LOW RISK
521615,"10,000",B,2,MORTGAGE,"70,000",Medium,Fully Paid,0,credit_card,5.63,Low Risk,Medium,14.29,3.45,LOW RISK
288821,"8,000",B,2,RENT,"46,900",Medium,Current,0,credit_card,25.67,Medium Risk,Medium,17.06,11.67,MEDIUM RISK
495434,"8,000",B,2,RENT,"32,000",Low,Fully Paid,0,credit_card,19.32,Low Risk,Medium,25,9.13,LOW RISK
413184,"10,100",D,4,RENT,"22,000",Low,Current,0,credit_card,38.68,High Risk,Medium,45.91,17.67,MEDIUM RISK
466347,"2,400",C,3,RENT,"55,000",Medium,Fully Paid,0,debt_consolidation,21.95,Medium Risk,Small,4.36,10.58,MEDIUM RISK
411,"10,000",C,3,RENT,"60,000",Medium,Fully Paid,0,debt_consolidation,17.29,Low Risk,Medium,16.67,8.72,LOW RISK
312120,"10,000",A,1,MORTGAGE,"65,000",Medium,Current,0,credit_card,16.8,Low Risk,Medium,15.38,7.52,LOW RISK
144543,"15,000",C,3,MORTGAGE,"55,000",Medium,Current,0,credit_card,22.34,Medium Risk,Large,27.27,10.54,MEDIUM RISK
249409,"14,175",E,5,RENT,"45,000",Medium,Current,0,debt_consolidation,38.19,High Risk,Medium,31.5,17.88,MEDIUM RISK
402378,"35,000",E,5,MORTGAGE,"85,000",High,Charged Off,1,debt_consolidation,20.6,Medium Risk,Large,41.18,10.64,MEDIUM RISK
231009,"27,050",C,3,MORTGAGE,"56,810",Medium,Fully Paid,0,credit_card,29.85,Medium Risk,Large,47.61,13.54,MEDIUM RISK
72978,"8,500",C,3,RENT,"56,000",Medium,Fully Paid,0,credit_card,17.38,Low Risk,Medium,15.18,8.75,LOW RISK
159973,"9,600",D,4,RENT,"74,000",Medium,Charged Off,1,debt_consolidation,11.45,Low Risk,Medium,12.97,6.78,LOW RISK
438679,"5,650",D,4,MORTGAGE,"50,000",Medium,Charged Off,1,other,24.96,Medium Risk,Medium,11.3,11.98,MEDIUM RISK
274247,"8,000",B,2,MORTGAGE,"70,000",Medium,In Grace Period,0,home_improvement,15.16,Low Risk,Medium,11.43,7.26,LOW RISK
517567,"5,600",C,3,RENT,"40,000",Medium,Fully Paid,0,credit_card,11.85,Low Risk,Medium,14,6.54,LOW RISK
