,,,,,Dashboard,,,,,
,,,,,,,Loan Default Risk Analysis,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,14.88%,,9.114701,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,Risk Segmentation Model ,,,,
,,,,,,,,,,
,,,,,Risk Segment,Grade,DTI,Income,Default Rate,Recommendation
,,,,,🟢 LOW RISK,A-B,<20%,>$75K,~6%,APPROVE
,,,,,🟡 MEDIUM RISK,C-D,20-35%,$45-75K,~19%,MANUAL REVIEW
,,,,,🔴 HIGH RISK,E-G,>35%,<$45K,~30%,REJECT / HIGH RATE
,,,,,,,,,,
,,,,,,,,,,
,,,,,"This data-driven risk segmentation model transforms lending from reactive (dealing with defaults after they occur) to proactive risk management. By applying clear, measurable criteria based on credit grade, debt-to-income ratio, and income stability, the institution can simultaneously reduce losses, increase profitability, and serve creditworthy borrowers more effectively.",,,,,
